# Map and environment characteristics: x size, y size, map view x, map view y, clock time
30, 30, 0, 0, 46

# Hex data, stored rows
# Format is: TerrainEnumID, elevation, obstacle height, density, obscuration, vapor, deltaVapor, vaporType

# Row 0
0, 0, 0, 0, 0, 24636, 56, 0
0, 0, 0, 0, 0, 24402, 99, 0
0, 0, 0, 0, 0, 24006, 133, 0
0, 0, 0, 0, 0, 23421, 172, 0
0, 0, 0, 0, 0, 23207, 153, 0
1, 0, 24, 32, 0, 23931, 82, 0
0, 0, 0, 0, 0, 24199, 143, 0
0, 0, 0, 0, 0, 24764, 74, 0
1, 0, 14, 35, 0, 25284, 26, 0
1, 0, 26, 30, 0, 25451, 6, 0
0, 0, 0, 0, 0, 25479, 4, 0
0, 0, 0, 0, 0, 25491, 3, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
1, 0, 14, 30, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
1, 0, 12, 27, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
1, 0, 29, 36, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0

# Row 1
0, 0, 0, 0, 0, 24141, 184, 0
1, 0, 20, 36, 0, 23243, 230, 0
1, 0, 19, 31, 0, 22548, 249, 0
0, 0, 0, 0, 0, 22289, 476, 0
0, 0, 0, 0, 0, 22611, 308, 0
0, 0, 0, 0, 0, 23007, 372, 0
1, 0, 21, 29, 0, 24215, 118, 0
1, 0, 22, 28, 0, 24953, 66, 0
1, 0, 24, 31, 0, 25333, 21, 0
0, 0, 0, 0, 0, 25434, 16, 0
0, 0, 0, 0, 0, 25466, 7, 0
1, 0, 15, 28, 0, 25500, 0, 0
1, 0, 28, 36, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
1, 0, 28, 36, 0, 25500, 0, 0
1, 0, 15, 33, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
1, 0, 28, 28, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
0, 0, 0, 0, 0, 25500, 0, 0
1, 0, 10, 36, 0, 25500, 0, 0
